,target
1366,[0.073825]
1367,[0.096605]
1368,[0.10824]
1369,[0.058105]
1370,[0.154265]
1371,[0.272365]
1372,[0.125975]
1373,[0.13521]
1374,[0.04439]
1375,[0.12087]
1376,[0.028285]
1377,[0.024225]
1378,[0.1165]
1379,[0.13377]
1380,[0.047125]
1381,[0.036915]
1382,[0.209715]
1383,[0.022975]
1384,[0.085065]
1385,[0.14279]
1386,[0.270615]
1387,[0.071935]
1388,[0.09836]
1389,[0.234835]
1390,[0.16882]
1391,[0.25938]
1392,[0.15194]
1393,[0.16551]
1394,[0.066915]
1395,[0.24487]
1396,[0.22521]
1397,[0.365435]
1398,[0.150895]
1399,[0.460245]
1400,[0.14915]
1401,[0.0768]
1402,[0.051895]
1403,[0.20767]
1404,[0.03378]
1405,[0.06896]
1406,[0.09628]
1407,[0.34578]
1408,[0.114495]
1409,[0.270905]
1410,[0.09726]
1411,[0.244775]
1412,[0.07095]
1413,[0.0375]
1414,[0.0584]
1415,[0.14212]
1416,[0.396875]
1417,[0.16029]
1418,[0.30113]
1419,[0.08192]
1420,[0.32966]
1421,[0.240835]
1422,[0.068035]
1423,[0.14262]
1424,[0.08606]
1425,[0.164915]
1426,[0.058615]
1427,[0.228465]
1428,[0.087015]
1429,[0.06793]
1430,[0.05473]
1431,[0.20303]
1432,[0.16704]
1433,[0.08785]
1434,[0.10499]
1435,[0.062935]
1436,[0.321765]
1437,[0.16811]
1438,[0.083655]
1439,[0.262365]
1440,[0.0925]
1441,[0.12096]
1442,[0.256755]
1443,[0.120185]
1444,[0.029135]
1445,[0.179715]
1446,[0.14544]
1447,[0.761905]
1448,[0.14406]
1449,[0.24875]
1450,[0.07794]
1451,[0.18285]
1452,[0.106915]
1453,[0.223535]
1454,[0.08639]
1455,[0.174265]
1456,[0.17844]
1457,[0.289325]
1458,[0.18629]
1459,[0.160895]
1460,[0.25219]
1461,[0.16623]
1462,[0.25922]
1463,[0.20343]
1464,[0.30942]
1465,[0.138635]
1466,[0.175815]
1467,[0.131005]
1468,[0.050075]
1469,[0.06217]
1470,[0.06974]
1471,[0.14295]
1472,[0.18572]
1473,[0.23571]
1474,[0.572725]
1475,[0.07374]
1476,[0.161115]
1477,[0.170565]
1478,[0.39698]
1479,[0.07255]
1480,[0.17211]
1481,[0.150935]
1482,[0.146445]
1483,[0.15107]
1484,[0.09009]
1485,[0.203565]
1486,[0.08983]
1487,[0.016945]
1488,[0.15597]
1489,[0.17213]
1490,[0.242785]
1491,[0.17781]
1492,[0.311295]
1493,[0.030725]
1494,[0.111645]
1495,[0.13133]
1496,[0.025435]
1497,[0.175475]
1498,[0.3218]
